Brute Force (Greedy Optimised),,,,,,
Valid?, #Sessions, Score, RAM (MB), Time (ms),, 
,,,,,,
TRUE,1,57,4.69972,4.978,, 
TRUE,2,50,2.762712,13.2216,, 
TRUE,3,43,4.18788,48.8555,, 
TRUE,4,67,5.292624,116.1899,, 
TRUE,5,69,6.287088,119.0516,, 
TRUE,6,69,23.646096,107.1287,, 
TRUE,7,45,22.598984,85.8896,, 
TRUE,8,54,30.969088,131.5882,, 
TRUE,9,51,39.894448,142.3722,, 
TRUE,10,49,9.861928,109.4128,, 
TRUE,11,70,27.74584,160.2371,, 
TRUE,12,68,43.463464,257.8198,, 
TRUE,13,55,16.206096,154.867,, 
TRUE,14,72,45.563728,248.9997,, 
TRUE,15,74,45.564736,245.2357,, 
TRUE,16,73,9.863784,97.3759,, 
TRUE,17,75,43.474368,257.1593,, 
TRUE,18,72,45.55616,228.0892,, 
TRUE,19,74,43.47388,274.5924,, 
TRUE,20,65,43.475152,182.3653,, 
TRUE,21,69,22.510544,210.1822,, 
TRUE,22,69,45.575808,376.163,, 
TRUE,23,69,45.577352,302.3888,, 
TRUE,24,67,45.572816,389.1238,, 
TRUE,25,69,45.5764,397.0532,, 
TRUE,26,48,45.578088,329.8268,, 
TRUE,27,48,45.580024,353.513,, 
TRUE,28,72,45.578272,392.5197,, 
TRUE,29,56,46.621816,365.089,, 
TRUE,30,51,45.581344,353.475,, 
TRUE,31,54,45.577184,362.306,, 
TRUE,32,70,45.583952,452.3379,, 
TRUE,33,49,46.63112,406.6725,, 
TRUE,34,69,43.487352,572.1074,, 
TRUE,35,49,43.488336,490.3722,, 
TRUE,36,61,45.584728,507.3557,, 
TRUE,37,68,45.582456,574.287,, 
TRUE,38,64,45.586504,630.6965,, 
TRUE,39,53,43.489968,553.0744,, 
TRUE,40,55,45.585584,677.8997,, 
TRUE,41,53,45.588128,670.4684,, 
TRUE,42,64,45.589432,564.1627,, 
TRUE,43,63,45.570016,726.7983,, 
TRUE,44,61,45.586592,601.4784,, 
TRUE,45,64,45.58192,661.9589,, 
TRUE,46,69,45.585216,716.3434,, 
TRUE,47,52,45.583696,695.3835,, 
TRUE,48,49,43.491568,585.7962,, 
TRUE,49,47,45.591968,914.4368,, 
TRUE,50,69,45.585928,719.3886,, 
TRUE,51,67,45.578136,966.1858,, 
TRUE,52,45,43.495736,880.2039,, 
TRUE,53,68,43.485688,896.2924,, 
TRUE,54,68,45.589136,1033.5383,, 
TRUE,55,46,45.591776,1177.3277,, 
TRUE,56,58,45.59348,1025.694,, 
TRUE,57,66,45.590984,989.7487,, 
TRUE,58,47,45.592824,993.5773,, 
TRUE,59,46,45.58976,1030.6414,, 
TRUE,60,48,43.498504,1017.3993,, 
TRUE,61,52,45.587952,1149.8987,, 
TRUE,62,60,45.59084,893.5454,, 
TRUE,63,41,43.500008,1351.9222,, 
TRUE,64,65,45.599848,1173.6055,, 
TRUE,65,67,45.597248,1345.5473,, 
TRUE,66,47,43.498104,1369.8108,, 
TRUE,67,59,43.500016,886.4731,, 
TRUE,68,69,43.499576,1095.8593,, 
TRUE,69,60,45.59904,1292.821,, 
TRUE,70,67,43.500016,1147.5569,, 
TRUE,71,63,45.5994,1261.0823,, 
TRUE,72,48,43.494392,1547.9013,, 
TRUE,73,55,45.605344,1458.3359,, 
TRUE,74,62,45.599856,1844.5871,, 
TRUE,75,40,45.594248,1823.7208,, 
TRUE,76,52,45.604328,2011.3475,, 
TRUE,77,42,45.6038,2203.4514,, 
TRUE,78,58,45.603024,1613.0704,, 
TRUE,79,44,45.594168,2093.3099,, 
TRUE,80,63,45.602608,1949.3065,, 
TRUE,81,57,45.595192,1730.8096,, 
TRUE,82,58,45.6072,1940.8203,, 
TRUE,83,63,45.603792,2013.6406,, 
TRUE,84,58,43.506,1472.9701,, 
TRUE,85,48,45.604744,1881.6324,, 
TRUE,86,49,45.611536,2326.952,, 
TRUE,87,43,45.604704,2281.6319,, 
TRUE,88,55,45.61072,1927.8353,, 
TRUE,89,56,45.606496,2147.0429,, 
TRUE,90,66,45.612112,2265.6416,, 
TRUE,91,56,45.596744,2502.9965,, 
TRUE,92,52,43.503024,2287.6977,, 
TRUE,93,48,45.61128,2681.9345,, 
TRUE,94,49,45.609624,1826.8208,, 
TRUE,95,56,45.598488,2510.0086,, 
TRUE,96,55,45.60028,2303.3412,, 
TRUE,97,48,45.613776,2155.1416,, 
TRUE,98,53,45.60152,2557.7734,, 
TRUE,99,55,43.51712,2556.4277,, 
TRUE,100,50,45.614264,1964.3849,, 
,,,,,,
,,,,,,
The DEFAULT parameters of the random test data: Days:10  Hours:8  Rooms:10  Sessions:50  Individuals:50 (Ignore for the specified parameter).,,,,,,
